id,author_id,author_name,author_gender,content,voteup_count
1300339960,91eb2d685d44ba9a4b315f7240a811a8,甜迹,0,这也太好听了吧！！(突然文盲),1
1301992842,27bc5d5b12bf2215e2a2947b3f8218a0,王奕杰,-1,好听！,0
1301170937,2f0988d9452ea61b4f62327dcf60a666,滁六,-1,太好听了 太好听了太好听了太好听了太好听了太好听了太好听了太好听了太好听了太好听了太好听了太好听了太好听了太好听了太好听了太好听了太好听了太好听了太好听了太好听了太好听了太好听了太好听了太好听了太好听了太好听了太好听了太好听了太好听了太好听了太好听了太好听了太好听了太好听了太好听了太好听了太好听了太好听了太好听了 音饭落泪 真的太好听了,0
1290265918,ab822a446fa0801eb8bd2af929949b75,王凡,1,这没办法，比商演更惨的是电影行业，电影院到现在还没能复工，至于在线电影…你我都知道不靠谱，因为毕竟大多数人并不是出于喜欢电影，而是需要这么一个环境，顺便看场电影。 而商演和电影不同，至少还有更强的受众黏性，毕竟喜欢听歌的人要多得多。以往人群密集的线下娱乐项目，只能转成线上，这是当前大局势下的必然结果。 从2020年初开始，我们每个人一打开手机，满眼都是“疫情”、“居家隔离”。 新冠肺炎这个病，说实在…,253
1289844076,8f9ea27708c374cc1d6c447d0bf277ab,人鱼朵朵,0,我有个朋友，是做音乐的。就是以前回答里提到，做主持写小说还做音乐的那个。在我们这酒吧开过个唱会。 大家可能不太清楚：大家能看到的音乐人可能只有表面那少少的一层。更多的都是不出名的那些。 在成名之前，音乐人有各种各样的职业。毕竟很多人靠音乐赚的钱是不够过活的。比如我朋友写小说，我另一个朋友驻唱加教小朋友乐器。 白天穿着白衬衣教学生这个是do...晚上梳着脏辫儿唱蓝莲花。 各自都有自己的领域，先把生活对付过…,8
1290290829,4a558b8ac2eec7883524bf520a19ad24,曹石,1,从春节伊始，一直到现在，在疫情尚未完全退散之前，对整个音乐行业的影响都是深远的。线下演出的停滞，对从业人员是巨大的打击：Livehouse关门大吉的有之、调音师灯光师转行的有之、歌手摇身变带货主播的有之...，总之为了生存，不少人被迫离开音乐圈，寻找新的赚钱渠道。 但如果疫情一直反复下去，线下一直没法恢复正常演出，难道所有的音乐人和唱片公司都得改行吗？其实这个问题，在疫情刚刚泛滥之初，已经有不少行业人士警…,267
1289912333,7a857e7be57edd2d50884fd90193c7aa,陆十四忆白,1,我比较喜欢痛仰，还有新裤子（高虎赛高！）。我对这两只乐队算是比较关注的，不管是迷笛，还是草莓音乐节。不过最近的疫情确实是不能够商演，也不能开演唱会，毕竟我们还是觉得安全是第一位的。不过，最近其实还是有很多线上演唱会的，而且感觉大家也很开心，所以真的可以多搞搞线上的演唱会，我相信肯定有很多人愿意付费的，虽然少了现场感，但这是针对事实情况的调整，并不是一直都这样，并且可以搞个优惠券，在线参加的获得优…,8
1290300319,3dd03f5dfc83e02d63a308dd7cdd4eaf,郭佳,1,卖保险... [图片] 卖课，一小时的课打折到50 [图片] 回老家躺平这里假装有个截图，隐私过多就不放了哈哈。 当网红，卖房中介 [图片] 其实对于大部分音乐人而言，录音制品的收入（包含录音的流媒体播放）一直以来都很难以之谋生。 本来大部分音乐人都是靠副业（当然也包括影视歌曲创作、晚会歌曲创作、编曲、乐器教学这种本行工作）打底，靠演出尤其是大型音乐节、商演赚点钱。 但从目前的形势看，小型演出在南方虽然已经部分恢复，但一些livehouse已…,178
1290028649,effe2c5893da4514ef0ada4576050809,知乎用户,1,我自己就是做这一行的，只能说这种背景下非流量音乐人、独立音乐人、尤其是对于以音乐为主业的独立音乐人来说，即便是平时的收入都还可以，但现在的打击可以说是毁灭式的。 去年一年我司的线下演唱会直播一共上百场，而今年到目前为止，两只手都能数过来。对于有些行业来说，疫情的影响可能是百分之二三十。而对于live来说，影响可能接近于百分之百，当然收入的减少，也会是接近全部。 我当然是相信演艺直播的潜力，但对于音乐人…,50
1290119464,ed070c8e4188f1437a89d26851867f40,王子君,1,谢邀。 只能靠线上顶住。 全球的音乐人都很惨，从开演唱会的到酒吧弹唱的，再到整个音乐制作行业，基本都停工了。 不仅仅是演出需求，连制作音乐的需求都在暴跌。没人去电影院，剧组都不开工了，做配乐和音效的还有活干么。 所以现在海外各路音乐人都在线上开张。 初级一点的放个PayPal：我，音乐人，打钱。更多的跑去Bandcamp、Gumroad、Shopify甚至Patreon里开页面。 Patreon啊同志们，以前上面寻求赞助的都是一票GHS的大触们…,204
